	key	委托时间	证券代码	证券名称	操作	备注	委托数量	成交数量	委托价格	成交均价	撤消数量	合同编号	策略编号
0	5775d6d2-40fe-11eb-86b7-fcaa14e6e347	14:57:47	510900	H股ETF	五档买入	已成	100	100	1.257	1.139	0	809271	1001
1	5ad39ef8-40fe-11eb-8cb3-fcaa14e6e347	14:57:53	160723	嘉实原油	五档买入	废单	100	0	0.732	0.0	100	809605	1001
2	5dec88e2-40fe-11eb-a4cd-fcaa14e6e347	14:57:58	510900	H股ETF	五档买入	已成	100	100	1.257	1.139	0	809893	1001
3	6c327722-40fe-11eb-aaf7-fcaa14e6e347	14:58:22	510900	H股ETF	五档卖出	已成	100	100	0.0	1.138	0	811166	1001
4	6ee128ae-40fe-11eb-9598-fcaa14e6e347	14:58:29	160723		卖出	股份不足:股份可用数不足,现可用0指令要卖100	100	0	0.0	0.0	0	0	1001
5	71f563d2-40fe-11eb-9366-fcaa14e6e347	14:58:32	510900	H股ETF	五档卖出	已成	100	100	0.0	1.138	0	811660	1001
6	c424c376-441d-11eb-85bd-fcaa14e6e347	14:20:16	160216	国泰商品	五档买入	已成	100	100	0.22899999999999998	0.205	0	1058160	1001
7	caf81d3a-441d-11eb-99c6-fcaa14e6e347	14:20:21	162411	华宝油气	五档买入	已成	100	100	0.316	0.284	0	1058412	1001
8	d20ae980-441d-11eb-a943-fcaa14e6e347	14:20:33	160723	嘉实原油	五档买入	已成	100	100	0.721	0.643	0	1058975	1001
9	d52ede86-441d-11eb-8b38-fcaa14e6e347	14:20:45	513030	德国30	五档买入	已成	100	100	1.234	1.112	0	1059493	1001
10	dfda179e-441d-11eb-8652-fcaa14e6e347	14:20:56	161716	招商双债	五档买入	已成	100	100	1.453	1.3230000000000002	0	1060033	1001
11	e6eea1cc-441d-11eb-9ca6-fcaa14e6e347	14:21:08	160216	国泰商品	五档卖出	已成	100	100	0.0	0.204	0	1060580	1001
12	ed9ebf94-441d-11eb-a2fc-fcaa14e6e347	14:21:20	162411	华宝油气	五档卖出	已成	100	100	0.0	0.28300000000000003	0	1061069	1001
13	f4aaee86-441d-11eb-b437-fcaa14e6e347	14:21:31	160723	嘉实原油	五档卖出	已成	100	100	0.0	0.642	0	1061619	1001
14	f7c08010-441d-11eb-8dc2-fcaa14e6e347	14:21:43	513030	德国30	五档卖出	已成	100	100	0.0	1.109	0	1062202	1001
15	9f59a6b0-442f-11eb-9c34-fcaa14e6e347	16:28:09	161716		卖出	股份不足:股份可用数不足,现可用0指令要卖100	100	0	0.0	0.0	0	0	1001
